"","Lap..","Timestamp..s."
"98","1",78633.116
"99","1",78634
"100","1",78635
"101","1",78636
"102","1",78637
"103","1",78638
"104","1",78639
"105","1",78640
"106","1",78641
"107","1",78642
"108","1",78643
"109","1",78644
"110","1",78645
"111","1",78646
"112","1",78647
"113","1",78648
"114","1",78649
"115","1",78650
"116","1",78651
"117","1",78652
"118","1",78653
"119","1",78654
"120","1",78655
"121","1",78656
"122","1",78657
"123","1",78658
"124","1",78659
"125","1",78660
"126","1",78661
"127","1",78662
"128","1",78663
"129","1",78664
"130","1",78665
"131","1",78666
"132","1",78667
"133","1",78668
"134","1",78669
"135","1",78670
"136","1",78671
"137","1",78672
"138","1",78673
"139","1",78674
"140","1",78675
"141","1",78676
"142","1",78677
"143","1",78678
"144","1",78679
"145","1",78680
"146","1",78681
"147","1",78682
"148","1",78683
"149","1",78684
"150","1",78685
"151","1",78686
"152","1",78687
"153","1",78687.598
"154","1",78688
"155","1",78689
"156","1",78690
"157","1",78691
"158","1",78692
"159","1",78693
"160","1",78694
"161","1",78695
"162","1",78696
"163","1",78697
"164","1",78698
"165","1",78699
"166","1",78700
"167","1",78701
"168","1",78702
"169","1",78703
"170","1",78704
"171","1",78705
"172","1",78706
"173","1",78707
"174","1",78708
"175","1",78709
"176","1",78710
"177","1",78711
"178","1",78712
"179","1",78713
"180","1",78714
"181","1",78715
"182","1",78716
"183","1",78717
"184","1",78718
"185","1",78719
"186","1",78720
"187","1",78721
"188","1",78722
"189","1",78723
"190","1",78724
"191","1",78724.156
"192","1",78725
"193","1",78726
"194","1",78727
"195","1",78728
"196","1",78729
"197","1",78730
"198","1",78731
"199","1",78732
"200","1",78733
"201","1",78734
"202","1",78735
"203","1",78736
"204","1",78737
"205","1",78738
"206","1",78739
"207","1",78740
"208","1",78741
"209","1",78742
"210","1",78743
"211","1",78744
"212","1",78745
"213","1",78746
"214","1",78747
"215","1",78748
"216","1",78749
"217","2",78749.37
"218","2",78750
"219","2",78751
"220","2",78752
"221","2",78753
"222","2",78754
"223","2",78755
"224","2",78756
"225","2",78757
"226","2",78758
"227","2",78759
"228","2",78760
"229","2",78761
"230","2",78762
"231","2",78763
"232","2",78764
"233","2",78765
"234","2",78766
"235","2",78767
"236","2",78768
"237","2",78769
"238","2",78770
"239","2",78771
"240","2",78772
"241","2",78773
"242","2",78774
"243","2",78775
"244","2",78776
"245","2",78777
"246","2",78778
"247","2",78779
"248","2",78780
"249","2",78781
"250","2",78782
"251","2",78783
"252","2",78784
"253","2",78785
"254","2",78786
"255","2",78787
"256","2",78787.354
"257","2",78788
"258","2",78789
"259","2",78790
"260","2",78791
"261","2",78792
"262","2",78793
"263","2",78794
"264","2",78795
"265","2",78796
"266","2",78797
"267","2",78798
"268","2",78799
"269","2",78800
"270","2",78801
"271","2",78802
"272","2",78803
"273","2",78804
"274","2",78805
"275","2",78806
"276","2",78807
"277","2",78808
"278","2",78809
"279","2",78810
"280","2",78811
"281","2",78812
"282","2",78813
"283","2",78814
"284","2",78815
"285","2",78816
"286","2",78817
"287","2",78818
"288","2",78819
"289","2",78820
"290","2",78821
"291","2",78822
"292","2",78822.9
"293","2",78823
"294","2",78824
"295","2",78825
"296","2",78826
"297","2",78827
"298","2",78828
"299","2",78829
